epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,33.2935,0.36212,0.51512,0.96603,0.99092,1,0.995,0.96131,0.27584,0.53737,0.85686,0.0011486,0.0011486,0.0011486
45,33.9969,0.3475,0.48148,0.95379,0.99257,1,0.995,0.95455,0.26465,0.56077,0.84397,0.0011288,0.0011288,0.0011288
46,34.6906,0.43418,0.50127,0.97139,0.99334,1,0.995,0.9668,0.28763,0.56763,0.86271,0.001109,0.001109,0.001109
47,35.3966,0.34004,0.44921,0.95914,0.99429,1,0.995,0.94693,0.31667,0.50031,0.87744,0.0010892,0.0010892,0.0010892
48,36.111,0.34401,0.47715,0.94095,0.99537,1,0.995,0.96183,0.28387,0.46094,0.85936,0.0010694,0.0010694,0.0010694
49,36.82,0.33259,0.42796,0.94132,0.99604,1,0.995,0.96505,0.27961,0.42212,0.84987,0.0010496,0.0010496,0.0010496
50,37.5459,0.3382,0.42496,0.903,0.99614,1,0.995,0.97842,0.27281,0.3844,0.84134,0.0010298,0.0010298,0.0010298
51,38.2616,0.32913,0.40592,0.9046,0.9961,1,0.995,0.97783,0.26684,0.37376,0.83845,0.00101,0.00101,0.00101
52,38.9777,0.31981,0.41193,0.92684,0.99604,1,0.995,0.98321,0.25094,0.37267,0.82586,0.0009902,0.0009902,0.0009902
53,39.6652,0.38891,0.50239,1.01152,0.99601,1,0.995,0.97049,0.26784,0.38615,0.83415,0.0009704,0.0009704,0.0009704
54,40.366,0.331,0.42308,0.92313,0.99599,1,0.995,0.92409,0.33484,0.4211,0.87273,0.0009506,0.0009506,0.0009506
55,41.0771,0.33978,0.39617,0.94998,0.99618,1,0.995,0.96201,0.30525,0.4228,0.86207,0.0009308,0.0009308,0.0009308
56,41.7944,0.34972,0.40998,0.93445,0.99635,1,0.995,0.97384,0.2581,0.39864,0.83235,0.000911,0.000911,0.000911
57,42.4971,0.3647,0.42108,0.95087,0.99637,1,0.995,0.98808,0.23451,0.38979,0.81166,0.0008912,0.0008912,0.0008912
58,43.2104,0.36371,0.41129,0.9523,0.99638,1,0.995,0.995,0.22071,0.35886,0.80888,0.0008714,0.0008714,0.0008714
59,43.9211,0.33157,0.38975,0.94057,0.99643,1,0.995,0.98768,0.27572,0.36919,0.83597,0.0008516,0.0008516,0.0008516
60,44.6115,0.31936,0.39012,0.92319,0.99643,1,0.995,0.95912,0.30788,0.4004,0.85313,0.0008318,0.0008318,0.0008318
61,45.3116,0.32458,0.39799,0.94147,0.99642,1,0.995,0.96423,0.3008,0.41193,0.85579,0.000812,0.000812,0.000812
62,46.0112,0.31436,0.37173,0.90954,0.99639,1,0.995,0.97602,0.27476,0.39247,0.85421,0.0007922,0.0007922,0.0007922
